x-dis,y-dis,z-dis,HOMO-1,HOMO,LUMO,LUMO+1,EXC1,EXC2,EXC3,EXC4,EXC5,EXC6,EXC7,EXC8,EXC9,EXC10,PROB1,PROB2,PROB3,PROB4,PROB5,PROB6,PROB7,PROB8,PROB9,PROB10
0.6,4.2,3.5,-4.63739171071,-4.4835886711,-2.411177133552,-2.2901673411540004,1.7114,1.7726,1.9492,2.0065,2.8746,2.9592,3.0431,3.0604,3.2251,3.2422,0.051885902000000005,6.900000000000001e-08,2.461e-07,0.047566738399999996,3.5560000000000003e-07,1.5451300000000002e-05,2.4234e-06,0.0002118648,3.875e-07,1.9583e-06
0.6,4.4,3.5,-4.63247745829,-4.50262527682,-2.409799183704,-2.305123702409,1.7321,1.7819,1.9501,1.9917,2.8956,2.9613,3.0580000000000003,3.0694,3.2272,3.238,0.046907035599999994,4.64e-08,2.522e-07,0.0517047051,2.872e-07,2.70496e-05,2.1787e-06,0.0001323375,1.4294999999999998e-06,1.4506e-06
0.8,3.2,3.5,-4.61832517322,-4.413608192840001,-2.3827261698460003,-2.2510930480610005,1.6427,1.7172,1.9298,2.0163,2.8056,2.9242,3.0114,3.0145,3.1949,3.2055,0.039383244,3.9590000000000004e-07,2.228e-07,0.0489543824,4.538e-07,0.0002761259,1.5597e-06,0.0019986198,0.0058878993999999995,7.21e-08
0.8,3.4,3.5,-4.623748265730001,-4.42798360565,-2.386420566585,-2.262066579157,1.6589,1.7276,1.9357,2.0124,2.8213,2.9303,3.0177,3.0253,3.2065,3.2123,0.0420411148,3.3219999999999997e-07,2.2510000000000002e-07,0.0491928867,4.5630000000000003e-07,0.00016185399999999999,1.7523e-06,0.001479104,0.0065898987,9.44e-08
0.8,3.6,3.5,-4.626194507659999,-4.44447328985,-2.3894303421120004,-2.273526909676,1.6766,1.7386,1.9402,2.0059,2.8395,2.9375,3.0261,3.0353,3.218,3.2187,0.0432137566,2.665e-07,2.2890000000000002e-07,0.050158965,4.384e-07,8.471450000000001e-05,1.8817e-06,0.0010057312,0.00724251,2.487e-07
0.8,3.8,3.5,-4.62639586684,-4.4621711291300015,-2.391788965588,-2.285401659156,1.6951,1.7497,1.9436,1.9975,2.859,2.9444,3.036,3.0445,3.2239,3.2289999999999996,0.0428463984,2.0460000000000002e-07,2.341e-07,0.0518995738,4.0159999999999994e-07,4.06195e-05,1.9286e-06,0.0006310901,3.286e-07,0.0081701869
0.8,4.0,3.5,-4.6250571004,-4.48025808142,-2.3935682732609997,-2.297513141726,1.7136,1.7606,1.9461,1.9881,2.8786,2.9505,3.0468,3.0533,3.2265,3.2361,0.041021203199999995,1.504e-07,2.4010000000000004e-07,0.054427145700000006,3.5090000000000005e-07,2.2185e-05,1.8792e-06,0.0003684861,1.1195e-06,1.4100999999999998e-06
0.8,4.2,3.5,-4.622812217650001,-4.4980429949400005,-2.394882277964,-2.3096063931270003,1.7318,1.771,1.9479,1.9784,2.8971,2.9553,3.0578,3.062,3.2258,3.237,0.0379433995,1.059e-07,2.468e-07,0.0577011948,2.932e-07,2.1141599999999998e-05,1.7306e-06,0.0002030822,2.3146000000000003e-06,6.976e-07
0.8,4.4,3.5,-4.6201863851,-4.51497349248,-2.395868393732,-2.321415836927,1.7492,1.781,1.9492,1.9691,2.9137,2.9587,3.0683,3.0706,3.2251,3.239,0.033903973999999996,7.13e-08,2.537e-07,0.0616009114,2.361e-07,2.94434e-05,1.4992e-06,0.0001077,3.1262000000000002e-06,4.429e-07
1.0,3.2,3.5,-4.5901512144400005,-4.44026107349,-2.347667903966,-2.2913025715579995,1.6823,1.7111,1.9293,1.9633,2.8562,2.9084,3.0208,3.0357,3.1971,3.2182,0.0209710174,4.989e-07,2.208e-07,0.06344905719999999,3.2659999999999997e-07,0.00040623849999999996,0.0024404930999999998,7.320999999999999e-07,0.005468431700000001,1.3717e-06
1.0,3.4,3.5,-4.59673620384,-4.453841933860001,-2.354663774936,-2.298887282076,1.6955,1.7227,1.9347,1.9628,2.8675,2.9171,3.031,3.0405,3.2083,3.2202,0.0228888105,4.203e-07,2.2309999999999998e-07,0.0640813565,3.34e-07,0.0002408484,0.0017977921,8.726e-07,0.0064944278,1.8097e-06
1.0,3.6,3.5,-4.60110352119,-4.468815982070001,-2.3609570656320003,-2.306722875248,1.7097,1.7347,1.939,1.9611,2.8808,2.9266,3.0403,3.0460000000000003,3.2195,3.2212,0.0237998086,3.386e-07,2.272e-07,0.06524548299999999,3.232e-07,0.0001334322,0.0012013564,9.632e-07,0.0074106601,2.2437000000000002e-06
1.0,3.8,3.5,-4.603715748390001,-4.484462134569999,-2.366527640136,-2.3148422760210003,1.7244,1.7468,1.9424,1.9583,2.895,2.9358,3.0487,3.0523,3.2218,3.2301,0.023650720400000002,2.611e-07,2.332e-07,0.06695845339999999,2.964e-07,7.29587e-05,0.0007277497,9.934e-07,2.6806000000000002e-06,0.008442893
1.0,4.0,3.5,-4.6050572359,-4.5001518241900005,-2.371419035568,-2.323186165069,1.739,1.7586,1.9451,1.9548,2.9089,2.944,3.0567,3.0591,3.2227,3.2395,0.022516416400000003,1.928e-07,2.4059999999999997e-07,0.0691872509,2.585e-07,4.5196000000000006e-05,0.0003999135,9.602e-07,3.1477e-06,0.0107233977
1.0,4.2,3.5,-4.60556879706,-4.51538981619,-2.37571723774,-2.331624747353,1.7532,1.7697,1.9469999999999998,1.9509999999999998,2.9218,2.9506,3.0646,3.0663,3.2244,3.2413,0.0205710104,1.364e-07,2.496e-07,0.0718477336,2.1620000000000002e-07,3.7138400000000003e-05,0.00019909340000000001,8.726e-07,3.6510000000000003e-06,2.018e-07
1.0,4.4,3.5,-4.60562049739,-4.5297706711400005,-2.3794940829,-2.339999112385,1.7668,1.7803,1.9472,1.9485,2.9329,2.9555,3.0726,3.0738,3.2272,3.2423,0.018042115900000003,9.25e-08,0.07479342230000001,2.671e-07,1.761e-07,3.95289e-05,8.98512e-05,7.473999999999999e-07,4.1954000000000005e-06,1.972e-07
1.2,3.2,3.5,-4.55970244114,-4.470573793290002,-2.332043247919,-2.309743535055,1.7065,1.7125,1.9276,1.9313,2.8937,2.9075,3.0286,3.0304,3.2026,3.2115,5.511e-07,0.0029811649,0.0795735003,2.954e-07,0.0006477941000000001,1.705e-07,0.0026439556,8.339999999999999e-08,0.0054421098,3.82e-08
1.2,3.4,3.5,-4.56742211673,-4.48310432064,-2.336300634041,-2.320224280374,1.7192,1.7238,1.9288,1.9356,2.9046,2.9142,3.0373,3.0382,3.2128,3.2192,4.6700000000000004e-07,0.0038533426000000003,0.0808976044,2.45e-07,0.0004099846,1.8480000000000001e-07,1.366e-07,0.0019474745000000002,0.0068154902000000005,5.901e-07
1.2,3.6,3.5,-4.573751325550001,-4.49623892553,-2.3405925777520005,-2.3300024454190003,1.7323,1.7354,1.9299,1.9392,2.9163,2.9219999999999997,3.0439999999999996,3.0467,3.2230000000000003,3.2245,3.792e-07,0.0044567668,0.0822083534,2.388e-07,0.0002476245,1.8579999999999998e-07,1.857e-07,0.0012948544,0.0080306843,1.6469999999999999e-06
1.2,3.8,3.5,-4.578896868919999,-4.5094796521500005,-2.345036901383,-2.3390393909959997,1.7451,1.7471,1.9308,1.9423,2.9275,2.93,3.0507,3.0542,3.2283,3.2327,2.981e-07,0.0047220423,0.0835036928,2.416e-07,0.0001489823,1.755e-07,2.23e-07,0.0007756925,2.6633999999999998e-06,0.0092934753
1.2,4.0,3.5,-4.58311452742,-4.522423782140001,-2.3496817678729998,-2.347338382389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.2,4.2,3.5,-4.58661926558,-4.53475567138,-2.354907582808,-2.354503503913,1.7691,1.7694,1.9318,1.9467,2.9443,2.9457,3.0652,3.0682,3.2348,3.2452,4.0619999999999997e-07,0.0043176265,0.0861385858,2.563e-07,1.378e-07,7.01913e-05,2.392e-07,0.0002013157,4.3407e-06,2.694e-07
1.2,4.4,3.5,-4.58959611616,-4.54624402892,-2.361749713323,-2.359444422819001,1.7799,1.78,1.932,1.9482,2.9497,2.952,3.0731,3.0754,3.238,3.2454,0.0037852411,1.5491e-06,0.0874207139,2.651e-07,1.192e-07,6.0524e-05,2.196e-07,8.67894e-05,4.8974e-06,4.4640000000000003e-07
1.4,3.2,3.5,-4.52869856956,-4.50313955905,-2.3702669345299996,-2.2717361735090003,1.7047,1.7141,1.9299,1.9354,2.8823,2.9447,3.0044,3.0376,3.1849,3.2103,5.454e-07,0.0047284597,0.0784342685,6.573e-07,0.0010136822,5.39e-08,3.1e-08,0.0025461228,2.3148e-06,0.0060837416
1.4,3.4,3.5,-4.53742231998,-4.51435853066,-2.371495225528,-2.2855436990099998,1.7184,1.7261,1.9293,1.9380000000000002,2.8952,2.9475,3.0164,3.0465,3.1984,3.2191,4.632e-07,0.004144177,0.0809071479,4.046e-07,0.00068237,6.87e-08,1.1200000000000001e-08,0.0018817498,2.3575e-06,0.007795298000000001
1.4,3.6,3.5,-4.54566171994,-4.52539519058,-2.372607326837,-2.298741432724,1.732,1.7382,1.9292,1.9407,2.9084,2.9505,3.0281,3.054,3.2116,3.228,3.764e-07,0.0035778854,0.08314483,3.3950000000000004e-07,0.00043978690000000004,7.940000000000001e-08,2.6e-09,0.0012563874,2.4308e-06,0.0092911942
1.4,3.8,3.5,-4.55334057948,-4.53598287395,-2.373750720451,-2.3112512799419997,1.7452,1.7501,1.9293,1.943,2.9210000000000003,2.9533,3.0394,3.0604,3.2239,3.2365,2.929e-07,0.0030164996999999995,0.0851191736,3.182e-07,0.00027805509999999996,8.52e-08,1.6e-09,0.0007602091,2.605e-06,0.0108858727
1.4,4.0,3.5,-4.56046434074,-4.54593382694,-2.3750271743880003,-2.322997050704,1.7577,1.7614,1.9296,1.9451,2.9323,2.9557,3.0502,3.0663,3.2351,3.2430000000000003,2.1859999999999999e-07,0.0024640076,0.08682655,3.141e-07,0.0001790044,8.68e-08,4.5e-09,0.0004190023,3.05e-06,3.3467800000000005e-05
1.4,4.2,3.5,-4.567030282650001,-4.555141927819999,-2.3765390008800003,-2.333893847626,1.7695,1.7722,1.93,1.9469,2.9417,2.9577,3.0607,3.0723,3.2432,3.2446,1.574e-07,0.0019475960999999998,0.0882766926,3.151e-07,0.0001226657,8.58e-08,8.399999999999999e-09,0.0002124839,1.8684e-06,4.1018e-06
1.4,4.4,3.5,-4.57302207879,-4.563552755190001,-2.3783142269479995,-2.3438657528549998,1.7805,1.7824,1.9304,1.9483,2.949,2.9592,3.0707,3.0786,3.2434,3.2508,1.101e-07,0.0014938094,0.0894771383,3.205e-07,9.25578e-05,8.33e-08,1.1299999999999999e-08,0.0001031038,1.606e-06,6.3772000000000005e-06
1.6,3.2,3.5,-4.53631756556,-4.498671562109999,-2.4034852128760003,-2.236680628699,1.6891,1.7065,1.94,1.9671,2.8760000000000003,2.9303,3.0014,3.0478,3.1676,3.2185,0.02417588,4.871e-07,2.216e-07,0.0620488189,0.0014542428,9.5e-08,4.231e-07,0.0022004177,2.6832999999999998e-06,0.007454279499999999
1.6,3.4,3.5,-4.54602090118,-4.50827421814,-2.4021954256959996,-2.253358338836,1.7035,1.7207,1.9409999999999998,1.9626,2.8901,2.9379,3.0136,3.0554,3.1773,3.2260000000000004,0.023450255299999997,4.1420000000000004e-07,2.282e-07,0.0644254725,0.001022846,8.59e-08,3.3020000000000003e-07,0.0016329004,2.9364e-06,0.0094092567
1.6,3.6,3.5,-4.55478002551,-4.51827687146,-2.40066944964,-2.2696164599790003,1.7183,1.7343,1.9425,1.9581,2.9041,2.9442,3.0260000000000002,3.0616,3.1882,3.2334,0.0221786243,3.366e-07,2.405e-07,0.0670704183,0.0006855472,8.14e-08,2.503e-07,0.0011071252,3.1907e-06,0.0111106828
1.6,3.8,3.5,-4.56257316999,-4.52837204116,-2.39907490262,-2.285294448998,1.733,1.7473,1.9442,1.9537,2.9174,2.9492,3.0381,3.0667,3.1997,3.2379,0.0203793073,2.6190000000000004e-07,2.668e-07,0.06994405440000001,0.0004447976,7.93e-08,1.8410000000000001e-07,0.0006944944000000001,3.4661e-06,6.854e-07
1.6,4.0,3.5,-4.56943570853,-4.53829306238,-2.397568246161,-2.3002138037010003,1.7474,1.7596,1.9458,1.9495,2.9292,2.9532,3.0497,3.0715,3.2112,3.2399,0.018145316,1.953e-07,4.3009999999999997e-07,0.07298281400000001,0.0002866369,7.809999999999999e-08,1.321e-07,0.0004110221,3.8019e-06,6.244e-07
1.6,4.2,3.5,-4.57546832072,-4.54781680738,-2.396295057508,-2.314215341493,1.761,1.7711,1.9458,1.9473,2.9391,2.9561,3.0608,3.0765,3.2221,3.2412,0.0156268361,1.399e-07,0.07607360980000001,1.4108000000000001e-06,0.00018906240000000001,7.72e-08,9.23e-08,0.0002372549,4.2569e-06,5.552e-07
1.6,4.4,3.5,-4.58076896508,-4.5567582434,-2.395351934646,-2.3271404239930003,1.7739,1.7818,1.9425,1.9485,2.9469,2.9583,3.0712,3.082,3.2319999999999998,3.2421,0.013017336899999999,9.630000000000001e-08,0.07910732820000001,3.548e-07,0.0001318002,7.61e-08,6.32e-08,0.00014082059999999998,4.9382e-06,4.236e-07
1.8,3.2,3.5,-4.5683500016,-4.471006443419999,-2.429742177841,-2.207575519765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.8,3.4,3.5,-4.5764315794999995,-4.481368277980001,-2.4266039678099998,-2.226385732461,1.6742,1.726,1.9434,2.0078,2.8903,2.9038,3.0123,3.0639999999999996,3.1807,3.2185,0.042737742300000006,3.299e-07,2.3280000000000002e-07,0.050015048799999996,0.0013446373000000002,1.7010000000000002e-07,1.1605e-06,0.0013136587,2.0731e-06,9.193e-07
1.8,3.6,3.5,-4.58285602577,-4.49297092046,-2.423126984564,-2.245028327245,1.6917,1.7391,1.9441,1.9985,2.9044,2.9157,3.0264,3.0685,3.1862,3.2246,0.0416083474,2.675e-07,2.439e-07,0.0521725822,0.0009232108999999999,1.476e-07,1.0056e-06,0.0009299924000000001,2.5006e-06,7.586e-07
1.8,3.8,3.5,-4.5878627945699995,-4.505275599,-2.419512315176,-2.263254326212,1.7095,1.7514,1.9452,1.9888,2.9174,2.9264,3.0397,3.0723,3.1931,3.2298,0.0394444709,2.0780000000000002e-07,2.5609999999999997e-07,0.0549359933,0.000609431,1.2869999999999998e-07,8.318999999999999e-07,0.0006334492,2.9172e-06,6.484e-07
1.8,4.0,3.5,-4.59171855076,-4.5177653103,-2.415942543443,-2.280795159753,1.7271,1.7629,1.9464,1.9791,2.9289,2.9357,3.0519,3.0761,3.2012,3.2339,0.0363562571,1.549e-07,2.6879999999999997e-07,0.058270442199999994,0.0003939532,1.1320000000000001e-07,6.573e-07,0.00042502269999999997,3.3347000000000004e-06,5.699e-07
