x-dis,y-dis,z-dis,HOMO-5,HOMO-4,HOMO-3,HOMO-2,HOMO-1,HOMO,LUMO,LUMO+1,LUMO+2,LUMO+3,LUMO+4,LUMO+5,EXC1,EXC2,EXC3,EXC4,EXC5,EXC6,EXC7,EXC8,EXC9,EXC10,PROB1,PROB2,PROB3,PROB4,PROB5,PROB6,PROB7,PROB8,PROB9,PROB10
0.8,3.2,3.6,-6.35089030576,-6.290485272830001,-5.90915452303,-5.6897464857200015,-4.60555519171,-4.42921897143,-2.3724810691890004,-2.2587923156259997,-0.8955620957909999,-0.840411721138,-0.426630034732,-0.302779173147,1.6664,1.7274,1.9322,2.0028,2.8357,2.9341,3.0216,3.0278,3.2031,3.2146,0.0339554533,3.009e-07,2.345e-07,0.0523618087,3.8880000000000004e-07,0.0001680264,0.0014589198000000002,1.3553e-06,0.0053166101,9.82e-08
0.8,4.0,3.6,-6.36069432097,-6.33887406064,-5.91148375895,-5.759076628250001,-4.61488301967,-4.48875054089,-2.385896488503,-2.302254606201,-0.933447553401,-0.858400442801,-0.43079436026,-0.367550707106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.6,0.0,3.6,-6.28141322545,-6.096579103560001,-5.764992234430001,-5.64775221241,-4.4565412353000005,-4.37990501982,-2.367734162574,-2.05610579768,-0.8912524651249999,-0.66627031592,-0.34398379194300005,-0.17234762145260002,1.547,1.6325,2.0033,2.011,2.7838,2.8695,2.9382,3.025,3.1573,3.2143,9.65e-08,0.0050372771,0.050707986600000005,2.136e-07,2.279e-07,0.0002387881,0.002222333,5.928e-07,9.3824e-05,2.59e-07
1.6,0.8,3.6,-6.28849072852,-6.1264020307600005,-5.76541127921,-5.67170307055,-4.45922148925,-4.40351302314,-2.369683809229,-2.07579818127,-0.906583789826,-0.665881475017,-0.328209204939,-0.2207708580088,1.5735,1.6416,1.9988,2.0063,2.8039,2.8753,2.9473,3.0159,3.1248,3.1654,1.117e-07,0.010484875500000001,1.9820000000000001e-07,0.0527850991,3.675e-07,0.0005439467,0.0010621448,7.686e-07,8.965999999999999e-07,0.0018880168
1.6,1.6,3.6,-6.30364436735,-6.1893050059500005,-5.745318898330001,-5.73536794534,-4.46515886399,-4.44723789697,-2.37670226508,-2.1237466999540002,-0.935046182026,-0.6854810701199999,-0.30830022417700004,-0.298603147018,1.6217,1.6528,1.9712,1.9984,2.8575,2.865,2.9730000000000003,2.9917,3.1658,3.1839,2.6739999999999997e-07,0.0168482236,2.03e-07,0.0552983488,3.8929999999999997e-07,0.0019560816,0.0002507558,8.944e-07,3.846e-07,0.0013084919
1.6,2.4,3.6,-6.32056125954,-6.253533142229999,-5.7965375989400005,-5.737697181259999,-4.4924865700000005,-4.47664177939,-2.3869895423220004,-2.184181936761,-0.946430866799,-0.737661124761,-0.36684159626400004,-0.296785472258,1.6671,1.669,1.9463,1.9794,2.8614,2.9071,2.9832,3.0137,3.1633,3.198,0.0194622384,4.619e-07,2.217e-07,0.058071543899999994,0.0023502081,1.875e-07,6.598e-07,0.0020294452,1.6433000000000002e-06,0.000450008
1.6,3.2,3.6,-6.338152977089999,-6.307704203790001,-5.8368611352699995,-5.76852690436,-4.53503049945,-4.503730031240001,-2.391143255677,-2.246598656742,-0.936953107882,-0.8068846013469999,-0.397114044228,-0.336190375356,1.7057,1.7193,1.9408,1.9625,2.8943,2.9391,3.0132,3.0512,3.1792,3.2219,0.020188306899999998,3.8030000000000004e-07,2.351e-07,0.06449635719999999,0.0010040668,8.29e-08,3.242e-07,0.0016870605,2.7242e-06,0.0065723302
1.6,4.0,3.6,-6.35675965375,-6.3462399971300005,-5.86073852452,-5.814698020119998,-4.56643708939,-4.54003454718,-2.389615919086,-2.3046747258590004,-0.9284127575799999,-0.870684985423,-0.415931059599,-0.385291539292,1.757,1.7666,1.9459,1.9473,2.937,2.9557,3.0565,3.0734,3.2191,3.2409,0.0148723991,1.54e-07,1.4796e-06,0.0746753487,0.0002032451,7.34e-08,1.0070000000000001e-07,0.000323269,3.8883e-06,5.824e-07
2.4,0.0,3.6,-6.445999865469999,-5.965203122889999,-5.81448577666,-5.60571712305,-4.63590056435,-4.2140122662,-2.49136271274,-1.981451881695,-0.933503063229,-0.664296995956,-0.496032557724,-0.053175748575399986,1.2716,1.6568,1.9477,2.266,2.5974,2.7696,2.8136,2.8544,3.0615,3.0988,1.818e-07,0.0013927299,0.0524170232,2.784e-07,0.0006655213000000001,0.0039058344,1.002e-07,8.165999999999999e-07,3.221e-07,9.758e-07
2.4,0.8,3.6,-6.4350448376500005,-6.0058096505,-5.7979933713900005,-5.6533195216299985,-4.5956423337,-4.288730127330002,-2.4764368274690005,-2.013832342588,-0.928827176541,-0.6819970120919999,-0.42492147487899995,-0.1462004244514,1.3663,1.6555,1.9715,2.197,2.6658,2.8139,2.8482,2.9275,3.0683,3.1477,1.628e-07,0.0048822458,0.053284562199999996,2.385e-07,0.0008827122,4.278e-07,0.0028466781,1.1201999999999999e-06,2.127e-07,7.470999999999999e-07
