Distance,HOMO-5,HOMO-4,HOMO-3,HOMO-2,HOMO-1,HOMO,LUMO,LUMO+1,LUMO+2,LUMO+3,LUMO+4,LUMO+5,EXC1,EXC2,EXC3,EXC4,EXC5,EXC6,EXC7,EXC8,EXC9,EXC10,PROB1,PROB2,PROB3,PROB4,PROB5,PROB6,PROB7,PROB8,PROB9,PROB10
6.1,-6.1777948798499995,-6.138159774230001,-5.9279054164,-5.88428394323,-4.745295741560001,-4.70021577487,-1.958026462172,-1.9129579239760002,-0.48818716870000006,-0.44585602692400006,-0.435748068195,-0.394520864518,2.3389,2.4233,2.4747,2.4969,3.4138,3.419,3.4357,3.4371,3.538,3.6208,0.000171282,0.0007213411,0.0070391465,0.1049755876,2.57772e-05,0.0001001698,0.0002097311,0.0021045276,4.1763e-06,1.5964e-06
6.3,-6.18060030302,-6.14412435967,-5.92987547108,-5.89085532728,-4.747306612290001,-4.70657219439,-1.9598400553270001,-1.9192354324660001,-0.490599397255,-0.451771360997,-0.43786941436700005,-0.400247900547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.6,-6.276539789079999,-6.12929724924,-5.60475386427,-5.1272441742499995,-5.10032462874,-4.02968154226,-2.4001050997220004,-1.307873860183,-0.820999879865,-0.744436589061,-0.06347600532129999,0.00813717480224,1.1754,2.1405,2.1821,2.434,2.5443,2.6664,2.7793,3.1519,3.2601,3.3003,0.0225432415,0.0016247702,0.0092865651,0.0738660771,0.0008374375,0.00274491,0.0050025292,0.0023866242,0.0004308637,0.0059011666
4.2,-6.292300226519999,-6.05079982188,-5.90774500877,-5.58863152452,-4.86952347134,-4.43668286644,-2.111303791058,-1.6512538466930002,-0.561145313861,-0.5518942200749999,-0.26558451357789997,-0.1837384830545,1.8741,2.2667,2.4949,2.7826,2.9543,3.1678,3.3535,3.3921,3.3961,3.4291,0.0185711167,0.0068553827,0.0882368578,0.0013705762,0.0003147218,0.0002003393,0.0001013149,0.0006719184,0.0007664901,0.0016689185
4.3,-6.2676827062300005,-6.0286203803100005,-5.938797859610001,-5.63164347801,-4.845953563,-4.47397240972,-2.0839325479279998,-1.686020141762,-0.543820261171,-0.5299972255709999,-0.287827709818,-0.2111151683245,1.9398,2.2797,2.4974,2.7303,3.0278,3.2236,3.3952,3.3995,3.4218,3.4649,0.0164886994,0.0067495877,0.0895348497,0.0008776132,0.0002502028,0.0001751672,0.0001869767,0.0004718606,0.0010442871,0.0014131561
4.9,-6.190162143,-6.05868276167,-5.95095560037,-5.78809411873,-4.76659083538,-4.6122816767499994,-1.9896735947000002,-1.821703576242,-0.493549037135,-0.45539473780899997,-0.37718601597600004,-0.31933933306,2.1807,2.3456,2.5008,2.5454,3.2972,3.3973,3.4135,3.4347,3.4733,3.6207,0.0057330623,0.0056339287,0.0956767966,0.0023595938,5.38192e-05,0.0001614479,0.0002279295,0.0022483645,1.50445e-05,5.42356e-05
6.7,-6.186134959400001,-6.1543528618000005,-5.934389726209999,-5.9016389276900005,-4.75177188816,-4.71723606772,-1.964181250405,-1.92965767478,-0.495469568341,-0.46210299168,-0.442381220534,-0.41003586144399995,2.3768,2.4459,2.4756,2.495,3.4163,3.4192,3.4364,3.4371,3.5728,3.6399,2.04184e-05,0.0001427305,0.0073414066,0.1080299056,1.88725e-05,7.01033e-05,0.00027674,0.0020216355,1.5171e-06,6.472e-07
6.5,-6.18340028405,-6.1494984729199995,-5.93207953778,-5.89659950605,-4.74948891043,-4.71221841464,-1.9619382724040002,-1.924758660352,-0.493042101794,-0.45719009979499997,-0.440101780195,-0.405407865588,2.3651,2.4388,2.4749,2.4956,3.4159,3.4192,3.4363,3.4371,3.5618,3.6336,4.10433e-05,0.0002392168,0.007332064,0.1070822359,2.10058e-05,7.90455e-05,0.000261038,0.0020387146,2.2213e-06,8.824e-07
4.8,-6.19721515644,-6.0447209515,-5.95889296156,-5.77062212826,-4.77440302735,-4.59661375569,-1.999359515472,-1.805724364774,-0.497947374683,-0.46270788554099995,-0.366347177845,-0.306509760117,2.1537,2.3358,2.5009,2.5645,3.2675,3.3828,3.4122,3.4338,3.4677,3.6198,0.0071062791,0.0059394463,0.0948418804,0.0017710334,6.70787e-05,0.0001584227,0.0002546027,0.0022057585,2.15527e-05,0.0001142022
5.2,-6.17757447318,-6.090826761580001,-5.93510536762,-5.82769657151,-4.75137189087,-4.647995720500001,-1.9698587629600002,-1.858777882885,-0.48594990494600004,-0.44112816779900005,-0.40294148774,-0.34920906266400004,2.2422,2.3717,2.4998,2.5064,3.3611,3.4161,3.422,3.4361,3.4863,3.6099,0.0027653806,0.0043736893,0.0939293873,0.0083804969,3.33952e-05,0.0001790551,0.0001548388,0.0022661851,1.07052e-05,1.294e-05
6.9,-6.18876079195,-6.15883718516,-5.93670535678,-5.90619944101,-4.754049423750001,-4.72182379174,-1.966427221583,-1.934146623959,-0.497850504591,-0.46664037590499996,-0.444626919605,-0.414303315525,2.3878,2.4526,2.4763,2.4944,3.4166,3.4192,3.4365,3.4371,3.5831,3.6462,1.05625e-05,9.10775e-05,0.007311438,0.1089161854,1.68465e-05,6.20996e-05,0.0002900632,0.0020051136,9.449e-07,4.637e-07
5.0,-6.18473905049,-6.07084050243,-5.94449850126,-5.8031715676,-4.76032965331,-4.62583532642,-1.9817220839460001,-1.835687154972,-0.49022035220399995,-0.44951096814799996,-0.386741597495,-0.330574903197,2.204,2.3549,2.5005,2.5297,3.3224,3.4081,3.4146,3.4353,3.4779,3.6173,0.0045533032,0.0052720702,0.0963729902,0.0030974731,4.42022e-05,0.0001651306,0.0002034368,0.0022683002,1.22517e-05,2.89295e-05
5.3,-6.17553639175,-6.09894643446,-5.93195164749,-5.8375931031,-4.748460345970001,-4.6569643672200005,-1.965753212544,-1.8681919687639998,-0.484839708386,-0.438403832515,-0.409700081406,-0.356837038195,2.2578,2.3794,2.4973,2.5002,3.3752,3.4167,3.4261,3.4363,3.4904,3.6079,0.0021119911,0.0038747758,0.0190478482,0.0846226198,3.08104e-05,0.0001643318,0.0001560015,0.0022552523,1.02755e-05,9.7251e-06
4.0,-6.35556510402,-6.105917815799999,-5.831938719639999,-5.478844513229999,-4.92954211233,-4.3425828237,-2.1811131140149995,-1.56637306122,-0.6166347338359999,-0.5999504931309999,-0.2121494470315,-0.11792554118509999,1.7084,2.2375,2.4858,2.7653,2.9161,3.0254,3.2026,3.2609,3.3738,3.3944,0.0222575208,0.0070020597,0.0852462652,0.0009813863,0.0028567501,0.0005227624,0.0005525689,0.0017944616,0.0009624756,0.0001777238
